Sr. No.,Title,Author,Time Posted,Author of Reply,Time of Reply,Kudos,Replies,Views,Issued Solved
1,Where are my Inspiron Laptop manuals?,DELL-Chris M,09:53 AM,None,None,6,0,2560,No
2,Where are my Inspiron Laptop drivers?,DELL-Chris M,09:50 AM,None,None,3,0,2289,No
3,New Inspiron Laptop Usage and Troubleshooting Guides (3/2/18),DELL-Chris M,10:28 AM,None,None,4,0,3775,No
4,Dell 7577 DISCHARGING WHILE PLUGGED-IN,Canerrozann,03:26 PM,Auz,06:51 AM,4,17,3224,No
5,Recovery drive,ritkit03,02:46 PM,Saltgrass,06:32 AM,0,3,53,No
6,"Inspiron 15-5579, upgrade ram and HDD",krgman101,10:35 AM,krgman101,06:30 AM,0,2,48,No
7,My Inspiron 7000 Ryzen 7 run always at the lowest frequency,RickyXDs,02:28 AM,JOcean,06:04 AM,0,1,18,No
8,Dell Inspiron 1501 - BOOT ERROR,GarethS10,05:34 AM,JOcean,05:38 AM,0,1,11,No
9,Lose thread screw,ViNooooo,08:07 AM,ViNooooo,05:34 AM,0,2,29,No
10,Dell Inspiron 1501 - NOT BOOTING,GarethS10,05:32 AM,None,None,0,0,7,No
11,Dell G3 makes noises,ice20011,09:23 PM,JOcean,04:44 AM,0,1,34,No
12,Dell laptop inspiron won't start after showing Dell Logo.,Aapai7,12:25 AM,JOcean,04:33 AM,0,1,21,No
13,Inspiron / other laptops Warranty,-Stallion-,02:19 AM,JOcean,04:19 AM,0,1,24,No
14,Dell Inspiron 15 5000 series (5575) Black screen at random,Rakya,03:59 AM,JOcean,04:17 AM,0,1,28,No
15,Does this computer Support Active Pen?inspiron 15 5000 i5579,Andrews31,09:45 PM,ejn63,03:17 AM,0,1,18,No
16,Laptop for repair,Avinash333,09:55 PM,ejn63,03:15 AM,0,1,30,No
17,Dell G5 15 5587 fan speeds,ID0647,06:58 PM,MPL2018,03:09 AM,1,1,363,No
18,Spots light on screen,annyka,06:34 PM,annyka,11:05 PM,0,3,90,No
19,Dell Viet Nam delay in support!,Nnthanh,06:46 PM,Nnthanh,09:25 PM,0,2,95,No
20,Specific brand of Headset that you are using everyday.,Me-Ann,07:59 PM,None,None,0,0,29,No
21,My laptop is connected to wifi but no internet.,Ybie,12:47 PM,JOcean,07:42 PM,0,2,46,No
22,Dell Inspiron 17R SE 7720 Unlock Bios Admin Password,vicvec,07:42 PM,None,None,0,0,26,No
23,My Dell Inspiron 3542 actually caught fire out of nowhere!!,akokkosis,07:17 PM,None,None,0,0,34,No
24,Petition for Dell to fix the G7 7588 BIOS update 1.50,Luidex,11:58 AM,Dragosh,07:06 PM,10,12,368,No
25,Include XPS thermal management system to G3/G5/G7 BIOS,28spawn,09:32 AM,Dragosh,07:03 PM,56,34,1022,No
26,"Dell adapter not detected. Plugged in, not charging.",spbone,02:11 PM,Finley22,04:51 PM,3,6,16452,No
27,Screen problems with Inspiron 15 3000,SRK2205,01:31 AM,ChepuriAswin,04:02 PM,0,2,810,No
28,Memory Upgrade 5537,Murdock39,03:16 PM,JOcean,03:35 PM,0,1,32,No
29,I had buy laptop but it want username and password,Arpit01,05:18 AM,jphughan,02:11 PM,0,2,138,No
30,SSD install help,Aayush_01,11:19 AM,Aayush_01,01:39 PM,1,4,76,No
31,new battery issue,vicky008,02:47 AM,Inspiron-User3521,01:07 PM,0,1,101,No
32,Which software do I use?,Onatauo,10:16 AM,therealslimbrady,01:06 PM,0,5,173,No
33,M6800 drops color profile,NewfPaul,05:46 AM,None,None,0,0,31,No
1,"Inspiron 15 5000 is wifi connected, still no internet access",DM-NS,11:56 AM,DM-NS,12:29 PM,0,4,85,No
3,Keyboard problem only with specific KEYS,Anndry,05:05 AM,IndyJimH,12:24 PM,0,2,210,No
5,"Inspiron 15-7567, power surge on the USB port",SilvioN,10:41 AM,ejn63,12:22 PM,0,6,113,No
7,Touchpad,amahfuj175,11:51 AM,JOcean,12:07 PM,0,1,38,No
9,Inspiron 15-3567 Operating system loader has no signature,Reade00,12:59 PM,motitipya,12:02 PM,0,4,5319,No
11,"A key fall of the keyboard, and DELL will charge 188$ to fix",bnbn2000,10:54 AM,ejn63,11:35 AM,0,1,38,No
13,"Inspiron 13 7378 2-in-1 wont turn on, even with charger",Tursko,01:06 PM,spm_abomb,10:42 AM,0,2,840,No
15,"Inspiron 15-7559, connect to additional desktop",bratoevb,09:38 AM,DELL-Chris M,10:42 AM,0,1,46,No
17,Ethernet wired connection keeps disconnecting,Annarose,10:15 AM,None,None,0,0,26,No
19,No hardrive installed,Nadrikq,07:07 AM,ejn63,10:02 AM,0,1,62,No
21,Tarjeta grafica,NicolasYanez,09:34 AM,ejn63,10:00 AM,0,1,22,No
23,Dell 7577 laptop wont connect to 5Ghz Wifi,JohnnyS240,07:03 AM,The_Chiller,09:59 AM,0,3,84,No
25,Inspiron 15 compatible fine point stylus,Katrina113,06:54 PM,ejn63,09:29 AM,0,4,1987,No
27,Inspiron 7580 problem with Nvidia MX150 and external monitor,barcudcoch,08:35 AM,ejn63,08:40 AM,0,1,26,No
29,can i install ssd drive in my inspiron 3542?,Keyur chopra,08:28 AM,ejn63,08:36 AM,0,1,57,No
31,Inspiron 5567 - typing double keys / backspace,nhrcs,08:15 AM,Dell-Sreejith R,08:32 AM,0,1,27,No
33,"Inspiron 13-5378, defective battery, not covered",ufruth,12:36 PM,DELL-Chris M,08:23 AM,0,2,40,No
35,Inspiron 15 3552 bios update greyed out.,RiRissatchard,04:27 AM,RiRissatchard,08:09 AM,0,7,73,No
37,Dell Inspiron 3521 strange beep sound from speaker,Debergz,04:17 AM,None,None,0,0,21,No
39,How exactely do Dell warranty upgrades work,confuseduser43,04:19 AM,confuseduser43,07:25 AM,0,5,78,No
41,Add 2nd M.2 SSD (NVMe) to Inspiron 7573,chadwixk,08:59 PM,Johnson Jun,06:46 AM,2,15,1059,Yes
43,Dell Inspiron 5577 SSD upgrade,Aayush_01,02:04 PM,Dell-Sreejith R,06:34 AM,0,2,72,No
45,ePSA Error Code 2000-0151 Validation 98445,Ashish HG,06:05 AM,JOcean,06:29 AM,0,1,29,No
47,Dell Inspiron 1545 RAM upgrade,PRADEEPKB,01:38 AM,ejn63,03:27 AM,0,1,56,No
49,SSD read speed Inspiron 5570,ghkaushik,01:40 AM,-Stallion-,03:20 AM,5,20,2170,No
51,Random Freeze Dell Inspiron 14 - 3467,rhh_dell,06:26 PM,rhh_dell,12:07 AM,0,3,106,No
53,Dell Inspiron 15 3567 GPU Problem,mamb2020,05:32 PM,MO SALAH,09:11 PM,0,2,366,No
55,Temporary Display Flicker,Harsh2713,07:59 AM,Harsh2713,09:15 PM,0,2,60,No
57,How to I connect 2 external monitors to a Dell Inspiron 7373,MerrillP,09:53 AM,Biker 2017,08:03 PM,0,4,131,No
59,Black screen at startup continues indefinitely,Chizeba,08:09 AM,Stressed-out,07:13 PM,7,36,53589,No
1,Inspiron 15 7567 Slow Wifi Download and Upload Speed,ItsRaveee,04:38 AM,Saltgrass,06:13 PM,6,12,5234,No
4,Dell G7 BIOS 1.4.1 and 1.5.0 cause high temp CPU throttling,augustl,12:43 PM,Buzz635,05:01 PM,16,45,1682,No
7,Inspiron 3520: should i update bios?,billwx,12:26 AM,JOcean,04:31 PM,2,5,244,No
10,Dell inspiron 7577 harddrive installation,kobbycarson,04:05 PM,ejn63,04:10 PM,0,1,28,No
13,Dell IDT Audio Driver not compatible with Creators Update,Pierreism,09:31 AM,Pierreism,11:54 AM,3,6,3965,Yes
16,SSD for inspiron 3520,cbrm,05:54 PM,minervamcdonalds,11:45 AM,1,4,1128,Yes
19,"Inspiron 15-7559, CPU fan issue",xRingo,05:11 AM,ejn63,11:14 AM,0,3,59,No
22,PCle SSD install for Inspiron 7573,nad760,07:44 AM,PetreN,11:13 AM,4,18,2402,No
25,Hdd password Remove,engMohamedRashid,12:57 AM,ejn63,10:27 AM,0,3,63,No
28,"Inspiron 15, Windows, no boot until Legacy chosen",ellielle1234,11:41 AM,DELL-Chris M,08:30 AM,0,1,45,No
31,Dell Inspiron 15 7000 multiple problems,Boomr,10:26 AM,Dell-Sreejith R,08:18 AM,0,1,62,No
34,Dell Instiron 5570 M.2 Slot type,hamLT,01:00 AM,fed_il,08:03 AM,7,18,15764,No
37,inspiron 15 2-in-1 7569,chetansha,07:53 AM,chetansha,07:22 AM,0,4,61,No
40,dell g7 and g5 Bios 1.5.0,zachpeanut61,12:13 PM,fengxuerzk,07:10 AM,20,23,1611,No
43,Dell G7 7588 AUX Mic in not working,DaSiqLad,11:07 PM,DELL-Jesse L,07:02 AM,0,1,48,No
46,Dell Inspiron 15 3567 Laptop Wifi & Bluetooth & USB,ShrikanthA,06:47 PM,DELL-Jesse L,06:29 AM,0,1,48,No
49,Dell Inspiron 15 5000 series (5575) Black screen at random,Euphorika,09:34 AM,ksteigs,04:28 AM,0,1,91,No
52,Dell supportassist keeps on loading.,IDKWUTNAMETOUSE,10:11 PM,JOcean,03:20 AM,0,1,51,Yes
55,Is the XPS 13 worth it?,dantengwen,01:40 AM,ejn63,03:17 AM,0,1,59,No
58,Dell Inspiron 15R WIFI and Bluetooth issues.,Bikhumahtre,02:02 AM,JOcean,03:15 AM,0,1,30,No
61,Dell HP inspiron 13 5378 battery plugged in not charging,Iamsmith,08:59 PM,JOcean,03:00 AM,0,1,50,No
64,"Inspiron 15 5565 cracking, glitches, freezing only Windows",michau,02:17 AM,None,None,0,0,20,No
67,Installing Linux Mint,MIET,11:42 PM,None,None,0,0,27,No
70,Laptop wont turn on,Jamie12,05:41 PM,Jamie12,07:20 PM,1,2,42,No
73,Network Card Wireless malfunction,r.viscardi89,03:58 PM,JOcean,04:18 PM,0,1,29,No
76,Inspiron 13 5378 2-in-1 very slow to POST after BIOS update,anandm19,06:15 PM,Scubawise,04:08 PM,0,2,418,No
79,Inspiron 7573 experiencing intermittent brightness changes,jb2018,01:44 PM,None,None,0,0,29,No
82,Dell G3 15 (3579) Randomly freezes,livictor,06:59 PM,NikaB,11:47 AM,0,3,119,No
85,G3 17 3779 Windows 10 freezing very often,mg979,06:12 PM,NikaB,11:40 AM,0,1,244,No
88,Support Assist Not installing,Kannans243,02:06 AM,Jaunin,11:28 AM,7,28,13577,No
1,Which Inspiron 15 5000 would you suggest?,Danieleda,05:23 AM,JOcean,11:27 AM,0,3,64,No
5,Dell Inspiron 15 7000 Crackling Speaker/headphone,KierBean,06:36 AM,ManicGames,11:01 AM,10,13,17572,No
9,Inspiron i7559 short circuit,Maximummaxx,10:28 AM,ejn63,10:42 AM,0,1,25,No
13,Dell Inspiron 15 7000 multiple problems,Boomr,10:29 AM,None,None,0,0,12,No
17,Can i increase the 32vram? Inspiron 3520,Solrac28,08:34 AM,ejn63,09:42 AM,0,3,47,No
21,Inspiron #3452 - How to boot to Linux USB Drive,PhilG327,07:33 AM,PhilG327,08:54 AM,0,6,114,Yes
25,What is the Headphone Jack Size of Dell Inspiron 15 5000?,Me-Ann,10:28 AM,Me-Ann,08:43 AM,0,3,121,Yes
29,Regarding ssd upgradation Dell inspiron 7560,Ishu2096,03:37 AM,ejn63,06:30 AM,0,2,46,No
33,DELL inspiron N5110 plugged in battery not charging,Faisalpasha,04:07 AM,Faisalpasha,05:59 AM,0,4,39,No
37,Problema con McAfee,Hector17,05:21 AM,Hector17,05:31 AM,0,1,37,No
41,Need bios A02 version for inspiron 5455/5555/5755,sw2037,11:56 PM,confuseduser43,05:03 AM,0,3,92,No
45,Inspiron 15 5559 System PTE Misuse when restarting,kediri,07:01 PM,Siner,04:06 AM,5,8,1994,No
49,Upgrade graphics card for Dell Inspiron 15R 5520,Hsyn,10:15 PM,ejn63,03:25 AM,0,1,39,Yes
53,DELL Inspiron 5770 i5 with Event ID 17 WHEA-Logger,WG-DELL,01:07 AM,Jaysel88,03:19 AM,2,7,1537,No
57,Laptop screen goes black flashing intermittently,Raem09,07:38 PM,None,None,0,0,32,No
61,I cannot save any changes in BIOS,ModularDesign,05:20 PM,None,None,0,0,38,No
65,integrado u19,eycelectronica,03:16 PM,None,None,0,0,29,No
69,Laptop won't turn on,Hyperion3356,01:14 PM,ejn63,03:03 PM,0,5,86,No
73,Will the DELL G7 ever come to the UK?,Raj5h4h,12:32 PM,Buzz635,02:33 PM,2,3,130,No
77,7559 blinking pattern,Lfpalmeira,07:19 AM,ejn63,12:03 PM,0,7,10489,Yes
81,Problem with boot,Abdoabdo12,08:46 AM,ejn63,10:15 AM,0,6,65,No
85,Inspiron 7472 static in headphones,Steve7472,05:15 PM,Aldis Dell User,09:07 AM,0,4,115,No
89,Dell G7 - 7588 locks up / freezes every few hours of gaming,twopoint71,11:10 PM,ing_ricardo_lara,08:49 AM,1,10,1183,No
93,WiFi Driver update fails,pnb2017,04:58 AM,pnb2017,08:41 AM,0,8,197,Yes
97,"Inspiron G3 17-3779, backlight bleed",alioth87,08:27 AM,annyka,07:57 AM,0,7,707,No
101,Minecraft is unplayable,The classical Inspiron,06:56 PM,The classical Inspiron,07:52 AM,0,2,69,No
105,Bluetooth windows 10 - inspirom n5010,Juliana-sol,06:49 AM,Mary G,07:33 AM,0,1,32,No
109,Can I set the default boot GPU on an Insspiron 5570?,frlt,06:43 AM,ejn63,07:00 AM,0,1,50,No
113,Spacebar not working,aeurum,05:23 AM,aeurum,06:59 AM,0,4,61,No
117,Dell 7577 Laptop power light stays on,Brain Lag,07:01 AM,Fahameho,06:35 AM,0,3,372,No
1,Inspiron 13 7000 series (2017) Black Screen during boot,ShinichiK,06:28 AM,None,None,0,0,11,No
6,Questions on booting,MIET,11:27 PM,ejn63,04:15 AM,0,1,43,No
11,Inspiron 5559 blinking light,chatelierBrown,02:51 AM,ejn63,04:06 AM,0,1,34,No
16,G3 Thunderbolt Charging,furcifer,11:46 PM,None,None,0,0,49,No
21,"Inspiron 15-7567, crackling sounds (thread 1)",DarthPizzaaaa,09:38 PM,frank_22,09:57 PM,4,3,780,Yes
26,"Inspiron 15 7567, popping sounds, performance drops",InVirto,07:21 AM,frank_22,09:55 PM,1,4,396,Yes
31,My Dell G3 3579 Screen is bit warmer or yellowish. Plz Help!,SwaranjitSingh,07:37 PM,AlexeyK1986,08:55 PM,0,8,226,No
36,"Dell G7 extremely slow, BSOD",Mantas_Ray,01:00 AM,gabrielfortunato,06:20 PM,5,4,924,No
41,Inspiron 11 3147 - ghost touch screen: resolved?,airpay,12:18 PM,airpay,06:07 PM,0,3,179,No
46,7577 audio issue,Vamparics,10:05 AM,Weird Things,05:17 PM,0,12,2698,No
51,No ethernet port,Rash21,04:49 PM,JOcean,05:04 PM,0,1,49,Yes
56,Dell Laptop will not turn off! (Black Screen) Inspiron 5577,charmedangelin,01:54 PM,charmedangelin,04:37 PM,0,3,64,No
61,"Inspiron 5567 too slow for its spec, from day 1",Amir1111,10:54 AM,Dell-Sreejith R,12:09 PM,0,1,52,No
66,The warranty is a joke!,jxrian,08:32 AM,jxrian,09:43 AM,0,4,146,No
71,Sudden shut down,shresthabis,03:45 AM,JOcean,04:23 AM,0,1,46,No
76,"1520 inspirion series, laptop by Dell",Prettysavvytechie,02:09 AM,ejn63,03:15 AM,0,1,41,No
81,"Inspiron 15 5567 - New - Slow, Lags, Images disappear",Briley12,12:12 PM,Amir1111,09:11 PM,0,4,265,No
86,Inspiron 15 7000 gaming 7567 will not detect mic,Dimondminer11,06:12 PM,None,None,0,0,41,No
91,speaker outputs comes out to the mic,Moumen Khadr,05:40 PM,Moumen Khadr,04:09 PM,0,2,100,No
96,Dell G7 - CPU stuck at 0.8 GHz on Battery,Allrond,04:23 PM,Warman1324,03:19 PM,8,32,3671,No
101,Inspiron 15 7567 slow to boot after adding 2nd SSD,Paul2018,10:18 AM,LeandroMH,01:45 PM,1,7,2068,Yes
106,Hard drive failed 17r,Emwag,12:09 PM,arso96,10:51 AM,2,6,133,Yes
111,"Inspiron 15-7567, crackling sounds (thread 3)",AddisonAnsel,09:17 AM,DELL-Chris M,10:12 AM,0,1,53,No
116,Windows 8.1/10 embedded Key after HDD Swap,Rellikant,09:37 AM,Dell-Sreejith R,10:01 AM,0,2,59,No
121,Question about installing OS from bootable pendrive,MIET,05:54 AM,jphughan,08:55 AM,0,2,63,No
126,Dell Inspiron 5000 Series wont boot with drive connected,SAMASH40,06:41 PM,SAMASH40,07:59 AM,0,2,61,No
131,Dell inspiron core i5 n5110 unable to boot from usb,myworldunlocker,06:36 AM,Vule94,07:54 AM,0,7,875,No
136,OpenGL problem in my Inspiron 15 7000,sigma360,09:19 PM,ejn63,07:34 AM,0,3,80,No
141,My Dell pc won't start,Shivo,08:05 PM,ejn63,07:02 AM,0,1,70,No
146,Dell inspiron 15R 5537 4th Gen i7 Not Switching On,Kishore Lal,04:49 AM,ejn63,06:34 AM,0,2,47,No
